table_title,table_url,table_code,csv_file
"Travel time, destination and origin indicators for GPs by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030794/jts0405.ods,jts0405,2017.csv
"Travel time, destination and origin indicators for GPs by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030794/jts0405.ods,jts0405,2019.csv
"Travel time, destination and origin indicators for GPs by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030794/jts0405.ods,jts0405,LA_Metadata.csv
"Travel time, destination and origin indicators for hospitals by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030795/jts0406.ods,jts0406,2014.csv
"Travel time, destination and origin indicators for hospitals by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030795/jts0406.ods,jts0406,2015_REVISED.csv
"Travel time, destination and origin indicators for hospitals by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030795/jts0406.ods,jts0406,2016.csv
"Travel time, destination and origin indicators for hospitals by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030795/jts0406.ods,jts0406,2017.csv
"Travel time, destination and origin indicators for hospitals by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030795/jts0406.ods,jts0406,2019.csv
"Travel time, destination and origin indicators for hospitals by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030795/jts0406.ods,jts0406,LA_Metadata.csv
"Travel time, destination and origin indicators for food stores by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030796/jts0407.ods,jts0407,2014.csv
"Travel time, destination and origin indicators for food stores by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030796/jts0407.ods,jts0407,2015_REVISED.csv
"Travel time, destination and origin indicators for food stores by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030796/jts0407.ods,jts0407,2016.csv
"Travel time, destination and origin indicators for food stores by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030796/jts0407.ods,jts0407,2017.csv
"Travel time, destination and origin indicators for food stores by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030796/jts0407.ods,jts0407,2019.csv
"Travel time, destination and origin indicators for food stores by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030796/jts0407.ods,jts0407,LA_Metadata.csv
"Travel time, destination and origin indicators for town centres by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030797/jts0408.ods,jts0408,2014.csv
"Travel time, destination and origin indicators for town centres by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030797/jts0408.ods,jts0408,2015_REVISED.csv
"Travel time, destination and origin indicators for town centres by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030797/jts0408.ods,jts0408,2016.csv
"Travel time, destination and origin indicators for town centres by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030797/jts0408.ods,jts0408,2017.csv
"Travel time, destination and origin indicators for town centres by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030797/jts0408.ods,jts0408,2019.csv
"Travel time, destination and origin indicators for town centres by mode of travel and local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030797/jts0408.ods,jts0408,LA_Metadata.csv
"Travel time, destination and origin indicators to Pharmacy by cycle and car, local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/747793/jts0409.ods,jts0409,2015.csv
"Travel time, destination and origin indicators to Pharmacy by cycle and car, local authority, England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/747793/jts0409.ods,jts0409,LA_Metadata.csv
"Travel time, destination and origin indicators for Employment centres by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1049632/jts0501.ods,jts0501,2014.csv
"Travel time, destination and origin indicators for Employment centres by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1049632/jts0501.ods,jts0501,2015.csv
"Travel time, destination and origin indicators for Employment centres by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1049632/jts0501.ods,jts0501,2016.csv
"Travel time, destination and origin indicators for Employment centres by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1049632/jts0501.ods,jts0501,2017.csv
"Travel time, destination and origin indicators for Employment centres by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1049632/jts0501.ods,jts0501,2019_REVISED.csv
"Travel time, destination and origin indicators for Employment centres by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1049632/jts0501.ods,jts0501,Metadata.csv
"Travel time, destination and origin indicators for Primary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030968/jts0502.ods,jts0502,2014.csv
"Travel time, destination and origin indicators for Primary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030968/jts0502.ods,jts0502,2015.csv
"Travel time, destination and origin indicators for Primary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030968/jts0502.ods,jts0502,2016.csv
"Travel time, destination and origin indicators for Primary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030968/jts0502.ods,jts0502,2017.csv
"Travel time, destination and origin indicators for Primary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030968/jts0502.ods,jts0502,2019.csv
"Travel time, destination and origin indicators for Primary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030968/jts0502.ods,jts0502,Metadata.csv
"Travel time, destination and origin indicators for Secondary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030971/jts0503.ods,jts0503,2014.csv
"Travel time, destination and origin indicators for Secondary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030971/jts0503.ods,jts0503,2015.csv
"Travel time, destination and origin indicators for Secondary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030971/jts0503.ods,jts0503,2016.csv
"Travel time, destination and origin indicators for Secondary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030971/jts0503.ods,jts0503,2017.csv
"Travel time, destination and origin indicators for Secondary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030971/jts0503.ods,jts0503,2019.csv
"Travel time, destination and origin indicators for Secondary schools by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030971/jts0503.ods,jts0503,Metadata.csv
"Travel time, destination and origin indicators for Further education by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030973/jts0504.ods,jts0504,2014.csv
"Travel time, destination and origin indicators for Further education by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030973/jts0504.ods,jts0504,2015.csv
"Travel time, destination and origin indicators for Further education by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030973/jts0504.ods,jts0504,2016.csv
"Travel time, destination and origin indicators for Further education by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030973/jts0504.ods,jts0504,2017.csv
"Travel time, destination and origin indicators for Further education by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030973/jts0504.ods,jts0504,2019.csv
"Travel time, destination and origin indicators for Further education by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030973/jts0504.ods,jts0504,Metadata.csv
"Travel time, destination and origin indicators for GPs by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030975/jts0505.ods,jts0505,2014.csv
"Travel time, destination and origin indicators for GPs by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030975/jts0505.ods,jts0505,2015_REVISED.csv
"Travel time, destination and origin indicators for GPs by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030975/jts0505.ods,jts0505,2016.csv
"Travel time, destination and origin indicators for GPs by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030975/jts0505.ods,jts0505,2017.csv
"Travel time, destination and origin indicators for GPs by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030975/jts0505.ods,jts0505,2019.csv
"Travel time, destination and origin indicators for GPs by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030975/jts0505.ods,jts0505,Metadata.csv
"Travel time, destination and origin indicators for Hospitals by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030976/jts0506.ods,jts0506,2014.csv
"Travel time, destination and origin indicators for Hospitals by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030976/jts0506.ods,jts0506,2015.csv
"Travel time, destination and origin indicators for Hospitals by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030976/jts0506.ods,jts0506,2016.csv
"Travel time, destination and origin indicators for Hospitals by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030976/jts0506.ods,jts0506,2017.csv
"Travel time, destination and origin indicators for Hospitals by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030976/jts0506.ods,jts0506,2019.csv
"Travel time, destination and origin indicators for Hospitals by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030976/jts0506.ods,jts0506,Metadata.csv
"Travel time, destination and origin indicators for Food stores by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030977/jts0507.ods,jts0507,2014.csv
"Travel time, destination and origin indicators for Food stores by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030977/jts0507.ods,jts0507,2015_REVISED.csv
"Travel time, destination and origin indicators for Food stores by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030977/jts0507.ods,jts0507,2016.csv
"Travel time, destination and origin indicators for Food stores by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030977/jts0507.ods,jts0507,2017.csv
"Travel time, destination and origin indicators for Food stores by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030977/jts0507.ods,jts0507,2019.csv
"Travel time, destination and origin indicators for Food stores by mode of travel, Lower Super Output Area (LSOA), England ",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030977/jts0507.ods,jts0507,Metadata.csv
"Travel time, destination and origin indicators for town centres by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030979/jts0508.ods,jts0508,2014.csv
"Travel time, destination and origin indicators for town centres by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030979/jts0508.ods,jts0508,2015_REVISED.csv
"Travel time, destination and origin indicators for town centres by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030979/jts0508.ods,jts0508,2016.csv
"Travel time, destination and origin indicators for town centres by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030979/jts0508.ods,jts0508,2017.csv
"Travel time, destination and origin indicators for town centres by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030979/jts0508.ods,jts0508,2019.csv
"Travel time, destination and origin indicators for town centres by mode of travel, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030979/jts0508.ods,jts0508,Metadata.csv
"Travel time, destination and origin indicators to Pharmacies by cycle and car, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748222/jts0509.ods,jts0509,2015.csv
"Travel time, destination and origin indicators to Pharmacies by cycle and car, Lower Super Output Area (LSOA), England",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748222/jts0509.ods,jts0509,Metadata.csv
Average minimum journey times to nearest of selected airports by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748228/jts0901.ods,jts0901,JTS0901_Nearest.csv
Average minimum journey times to nearest of selected airports by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748228/jts0901.ods,jts0901,JTS0901_Selected.csv
Catchment population measures for selected airports: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748229/jts0902.ods,jts0902,JTS0902.csv
Population within specified journey times of selected airports by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748230/jts0903.ods,jts0903,JTS0903.csv
Average number of selected airports within specified journey time of each area by local authority: England ,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748231/jts0904.ods,jts0904,JTS0904.csv
Average minimum journey times for selected airports by Lower Super Output Area (LSOA11): England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748232/jts0905.ods,jts0905,JTS0905_Selected.csv
Average minimum journey times for selected airports by Lower Super Output Area (LSOA11): England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748232/jts0905.ods,jts0905,JTS0905_Summary.csv
Average minimum journey times to nearest of selected rail stations by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748233/jts0921.ods,jts0921,JTS0921_Nearest.csv
Average minimum journey times to nearest of selected rail stations by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748233/jts0921.ods,jts0921,JTS0921_Selected(Car).csv
Average minimum journey times to nearest of selected rail stations by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748233/jts0921.ods,jts0921,JTS0921_Selected(PT).csv
Catchment population measures for selected rail stations: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748234/jts0922.ods,jts0922,JTS0922.csv
Population within specified journey times of selected rail stations by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748235/jts0923.ods,jts0923,JTS0923.csv
Average number of selected rail stations within specified journey time of each area by local authority: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748236/jts0924.ods,jts0924,JTS0924.csv
Average minimum journey times by car for selected rail stations by Lower Super Output Area (LSOA11): England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748237/jts0925.ods,jts0925,JTS0925_Selected.csv
Average minimum journey times by car for selected rail stations by Lower Super Output Area (LSOA11): England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748237/jts0925.ods,jts0925,JTS0925_Summary.csv
Average minimum journey times by car for selected rail stations by Lower Super Output Area (LSOA11): England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748238/jts0926.ods,jts0926,JTS0926_Selected.csv
Average minimum journey times by car for selected rail stations by Lower Super Output Area (LSOA11): England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748238/jts0926.ods,jts0926,JTS0926_Summary.csv
Average travel time to city centres: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/791207/jts0930.ods,jts0930,JTS0930_LA.csv
Average travel time to city centres: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/791207/jts0930.ods,jts0930,JTS0930_LSOA.csv
Average travel time to city centres: England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/791207/jts0930.ods,jts0930,Metadata.csv
Average travel time to job centres in England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748241/jts1020.ods,jts1020,JTS1020_LSOA.csv
Average travel time to job centres in England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748241/jts1020.ods,jts1020,JTS1020_OA.csv
Average travel time to job centres in England,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/748241/jts1020.ods,jts1020,Metadata.csv
